Time,Step,J1_Pos,J2_Pos,J3_Pos,J4_Pos,J5_Pos,J6_Pos,Q_Err,DQ_Norm,Reached
0.138000,1,1.167600,-1.157839,91.445434,2.189250,87.970400,2.481150,108.652008,61.393545,0
0.139000,1,1.184400,-1.173924,91.463383,2.220750,87.944189,2.516850,108.593783,61.780617,0
0.140000,1,1.201320,-1.190096,91.481403,2.252475,87.917865,2.552805,108.535178,62.167000,0
0.141000,1,1.218360,-1.206353,91.499494,2.284425,87.891428,2.589015,108.476196,62.552702,0
0.142000,1,1.235520,-1.222695,91.517656,2.316600,87.864879,2.625480,108.416836,62.937728,0
0.143000,1,1.252800,-1.239122,91.535888,2.348998,87.838220,2.662200,108.357100,63.321236,0
0.144000,1,1.270200,-1.255633,91.554189,2.381618,87.811451,2.699175,108.296990,63.703191,0
0.145000,1,1.287720,-1.272226,91.572559,2.414458,87.784573,2.736405,108.236505,64.083600,0
0.146000,1,1.305360,-1.288902,91.590997,2.447516,87.757587,2.773890,108.175647,64.462473,0
0.147000,1,1.323120,-1.305660,91.609503,2.480791,87.730494,2.811630,108.114419,64.839817,0
0.148000,1,1.341000,-1.322498,91.628075,2.514280,87.703295,2.849625,108.052820,65.215642,0
0.149000,1,1.359000,-1.339417,91.646714,2.547982,87.675992,2.887875,107.990852,65.589956,0
0.150000,1,1.377120,-1.356416,91.665418,2.581896,87.648584,2.926380,107.928516,65.962768,0
0.151000,1,1.395360,-1.373493,91.684187,2.616019,87.621073,2.965140,107.865813,66.334087,0
0.152000,1,1.413720,-1.390649,91.703021,2.650350,87.593460,3.004155,107.802744,66.703921,0
0.153000,1,1.432200,-1.407882,91.721919,2.684888,87.565745,3.043425,107.739312,67.072280,0
0.154000,1,1.450800,-1.425192,91.740880,2.719630,87.537930,3.082950,107.675516,67.439172,0
0.155000,1,1.469520,-1.442578,91.759903,2.754576,87.510016,3.122730,107.611357,67.804607,0
0.156000,1,1.488360,-1.460040,91.778989,2.789723,87.482003,3.162765,107.546838,68.168593,0
0.157000,1,1.507320,-1.477577,91.798136,2.825069,87.453893,3.203055,107.481959,68.531138,0
0.158000,1,1.526400,-1.495188,91.817344,2.860614,87.425685,3.243600,107.416721,68.892254,0
0.159000,1,1.545600,-1.512873,91.836613,2.896356,87.397382,3.284400,107.351125,69.251947,0
0.160000,1,1.564920,-1.530631,91.855941,2.932292,87.368984,3.325455,107.285173,69.610227,0
0.161000,1,1.584360,-1.548462,91.875328,2.968422,87.340492,3.366765,107.218865,69.967104,0
0.162000,1,1.603920,-1.566364,91.894774,3.004744,87.311906,3.408330,107.152203,70.322586,0
0.163000,1,1.623600,-1.584337,91.914278,3.041256,87.283229,3.450150,107.085187,70.676682,0
0.164000,1,1.643400,-1.602381,91.933840,3.077956,87.254459,3.492225,107.017820,71.029402,0
0.165000,1,1.663320,-1.620494,91.953459,3.114844,87.225600,3.534555,106.950101,71.380754,0
0.166000,1,1.683360,-1.638677,91.973133,3.151917,87.196650,3.577140,106.882032,71.730747,0
0.167000,1,1.703520,-1.656928,91.992864,3.189175,87.167612,3.619980,106.813614,72.079391,0
0.168000,1,1.723800,-1.675248,92.012650,3.226614,87.138485,3.663075,106.744848,72.426695,0
0.169000,1,1.744200,-1.693634,92.032491,3.264235,87.109272,3.706425,106.675735,72.772668,0
0.170000,1,1.764720,-1.712088,92.052386,3.302035,87.079972,3.750030,106.606276,73.117318,0
0.171000,1,1.785360,-1.730608,92.072335,3.340013,87.050587,3.793890,106.536472,73.460655,0
0.172000,1,1.806120,-1.749193,92.092336,3.378168,87.021117,3.838005,106.466325,73.802687,0
0.173000,1,1.827000,-1.767843,92.112391,3.416497,86.991563,3.882375,106.395834,74.143425,0
0.174000,1,1.848000,-1.786558,92.132497,3.455000,86.961926,3.927000,106.325002,74.482876,0
0.175000,1,1.869120,-1.805336,92.152655,3.493674,86.932207,3.971880,106.253829,74.821051,0
0.176000,1,1.890360,-1.824178,92.172864,3.532520,86.902406,4.017015,106.182316,75.157957,0
0.177000,1,1.911720,-1.843082,92.193123,3.571534,86.872525,4.062405,106.110465,75.493604,0
0.178000,1,1.933200,-1.862048,92.213432,3.610715,86.842565,4.108050,106.038275,75.828002,0
0.179000,1,1.954800,-1.881076,92.233791,3.650063,86.812525,4.153950,105.965749,76.161158,0
0.180000,1,1.976520,-1.900164,92.254198,3.689576,86.782407,4.200105,105.892887,76.493081,0
0.181000,1,1.998360,-1.919313,92.274654,3.729251,86.752212,4.246515,105.819690,76.823782,0
0.182000,1,2.020320,-1.938521,92.295158,3.769089,86.721940,4.293180,105.746159,77.153268,0
0.183000,1,2.042400,-1.957789,92.315709,3.809086,86.691593,4.340100,105.672295,77.481549,0
0.184000,1,2.064600,-1.977115,92.336308,3.849243,86.661171,4.387275,105.598099,77.808633,0
0.185000,1,2.086920,-1.996499,92.356952,3.889557,86.630674,4.434705,105.523572,78.134530,0
0.186000,1,2.109360,-2.015941,92.377642,3.930028,86.600104,4.482390,105.448715,78.459247,0
