Time,Step,Target_X,Target_Y,Target_Z,Actual_X,Actual_Y,Actual_Z,Q_Error,Exec_us
0.5620,1,0.4552,0.0345,0.4552,0,0,0,0.3285,0.0980
0.5630,1,0.4552,0.0345,0.4552,0,0,0,0.3079,0.1000
0.5640,1,0.4552,0.0345,0.4552,0,0,0,0.3065,0.2820
0.5650,1,0.4552,0.0345,0.4552,0,0,0,0.3244,0.1040
0.5660,1,0.4552,0.0345,0.4552,0,0,0,0.3244,0.0750
0.5670,1,0.4552,0.0345,0.4552,0,0,0,0.3215,0.1020
0.5680,1,0.4552,0.0345,0.4552,0,0,0,0.3200,0.1630
0.5690,1,0.4552,0.0345,0.4552,0,0,0,0.3391,0.0860
0.5700,1,0.4552,0.0345,0.4552,0,0,0,0.3377,0.0660
0.5710,1,0.4552,0.0345,0.4552,0,0,0,0.3361,0.5010
0.5720,1,0.4552,0.0345,0.4552,0,0,0,0.3346,0.4490
0.5730,1,0.4552,0.0345,0.4552,0,0,0,0.3143,0.0640
0.5740,1,0.4552,0.0345,0.4552,0,0,0,0.3316,0.4630
0.5750,1,0.4552,0.0345,0.4552,0,0,0,0.3300,0.1000
0.5760,1,0.4552,0.0345,0.4552,0,0,0,0.3289,0.6550
0.5770,1,0.4552,0.0345,0.4552,0,0,0,0.3274,0.1740
0.5780,1,0.4552,0.0345,0.4552,0,0,0,0.3076,0.0990
0.5790,1,0.4552,0.0345,0.4552,0,0,0,0.3064,0.2350
0.5800,1,0.4552,0.0345,0.4552,0,0,0,0.3050,0.1780
0.5810,1,0.4552,0.0345,0.4552,0,0,0,0.3037,0.1520
0.5820,1,0.4552,0.0345,0.4552,0,0,0,0.3023,0.2330
0.5830,1,0.4552,0.0345,0.4552,0,0,0,0.3012,0.2440
0.5840,1,0.4552,0.0345,0.4552,0,0,0,0.2999,0.2360
0.5850,1,0.4552,0.0345,0.4552,0,0,0,0.2988,0.1580
0.5860,1,0.4552,0.0345,0.4552,0,0,0,0.3155,0.0990
0.5870,1,0.4552,0.0345,0.4552,0,0,0,0.2964,0.0710
0.5880,1,0.4552,0.0345,0.4552,0,0,0,0.2951,0.1700
0.5890,1,0.4552,0.0345,0.4552,0,0,0,0.2750,0.1050
0.5900,1,0.4552,0.0345,0.4552,0,0,0,0.2916,0.0700
0.5910,1,0.4552,0.0345,0.4552,0,0,0,0.2916,0.0420
0.5920,1,0.4552,0.0345,0.4552,0,0,0,0.2892,0.0680
0.5930,1,0.4552,0.0345,0.4552,0,0,0,0.2879,0.0770
0.5940,1,0.4552,0.0345,0.4552,0,0,0,0.2867,0.0730
0.5950,1,0.4552,0.0345,0.4552,0,0,0,0.2853,0.0960
0.5960,1,0.4552,0.0345,0.4552,0,0,0,0.2853,0.0780
0.5970,1,0.4552,0.0345,0.4552,0,0,0,0.2843,0.0690
0.5980,1,0.4552,0.0345,0.4552,0,0,0,0.2831,0.2070
0.5990,1,0.4552,0.0345,0.4552,0,0,0,0.2821,0.1790
0.6000,1,0.4552,0.0345,0.4552,0,0,0,0.2810,0.1970
0.6010,1,0.4552,0.0345,0.4552,0,0,0,0.2797,0.0800
0.6020,1,0.4552,0.0345,0.4552,0,0,0,0.2785,0.2040
0.6030,1,0.4552,0.0345,0.4552,0,0,0,0.2772,0.2290
