Time,Step,J1,J2,J3,J4,J5,J6,Q_Error,Exec_us,Reached
0.2250,1,0.0000,0.0000,4.5968,0.0000,0.0000,0.0000,85.4032,0.2140,0
0.2260,1,0.0000,0.0000,4.6376,0.0000,0.0000,0.0000,85.3624,0.2120,0
0.2270,1,0.0000,0.0000,4.6786,0.0000,0.0000,0.0000,85.3214,0.2140,0
0.2280,1,0.0000,0.0000,4.7197,0.0000,0.0000,0.0000,85.2803,0.2200,0
0.2290,1,0.0000,0.0000,4.7610,0.0000,0.0000,0.0000,85.2390,0.2120,0
0.2300,1,0.0000,0.0000,4.8025,0.0000,0.0000,0.0000,85.1975,0.2150,0
0.2310,1,0.0000,0.0000,4.8442,0.0000,0.0000,0.0000,85.1558,0.2140,0
0.2320,1,0.0000,0.0000,4.8860,0.0000,0.0000,0.0000,85.1140,0.2160,0
0.2330,1,0.0000,0.0000,4.9280,0.0000,0.0000,0.0000,85.0720,0.2140,0
0.2340,1,0.0000,0.0000,4.9703,0.0000,0.0000,0.0000,85.0297,0.2160,0
0.2350,1,0.0000,0.0000,5.0126,0.0000,0.0000,0.0000,84.9874,0.2130,0
0.2360,1,0.0000,0.0000,5.0552,0.0000,0.0000,0.0000,84.9448,0.2120,0
0.2370,1,0.0000,0.0000,5.0980,0.0000,0.0000,0.0000,84.9020,0.2130,0
0.2380,1,0.0000,0.0000,5.1409,0.0000,0.0000,0.0000,84.8591,0.2120,0
0.2390,1,0.0000,0.0000,5.1840,0.0000,0.0000,0.0000,84.8160,0.2140,0
0.2400,1,0.0000,0.0000,5.2273,0.0000,0.0000,0.0000,84.7727,0.2120,0
0.2410,1,0.0000,0.0000,5.2708,0.0000,0.0000,0.0000,84.7292,0.2240,0
0.2420,1,0.0000,0.0000,5.3144,0.0000,0.0000,0.0000,84.6856,0.2180,0
0.2430,1,0.0000,0.0000,5.3582,0.0000,0.0000,0.0000,84.6418,0.2180,0
0.2440,1,0.0000,0.0000,5.4023,0.0000,0.0000,0.0000,84.5977,0.2150,0
0.2450,1,0.0000,0.0000,5.4464,0.0000,0.0000,0.0000,84.5536,0.2140,0
0.2460,1,0.0000,0.0000,5.4908,0.0000,0.0000,0.0000,84.5092,0.2130,0
