time,q1,q2,q3,q4,q5,q6,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6
2.0140,0.000000,-0.523599,1.570796,-1.047198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.310000,0.034500,0.689436,0.174108,0.034500,0.968936,0.174108,0.034500,0.968936,0.278897,0.034500,1.029436
2.0150,0.000000,-0.523599,1.570796,-1.047198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.310000,0.034500,0.689436,0.174108,0.034500,0.968936,0.174108,0.034500,0.968936,0.278897,0.034500,1.029436
2.0160,0.000000,-0.523599,1.570796,-1.047198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.310000,0.034500,0.689436,0.174108,0.034500,0.968936,0.174108,0.034500,0.968936,0.278897,0.034500,1.029436
2.0170,0.000000,-0.523599,1.570796,-1.047198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.310000,0.034500,0.689436,0.174108,0.034500,0.968936,0.174108,0.034500,0.968936,0.278897,0.034500,1.029436
2.0180,0.000000,-0.523599,1.570796,-1.047198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.310000,0.034500,0.689436,0.174108,0.034500,0.968936,0.174108,0.034500,0.968936,0.278897,0.034500,1.029436
2.0190,0.000000,-0.523599,1.570796,-1.047198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.310000,0.034500,0.689436,0.174108,0.034500,0.968936,0.174108,0.034500,0.968936,0.278897,0.034500,1.029436
2.0200,0.000000,-0.523599,1.570796,-1.047198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.310000,0.034500,0.689436,0.174108,0.034500,0.968936,0.174108,0.034500,0.968936,0.278897,0.034500,1.029436
2.0210,0.000000,-0.523599,1.570796,-1.047198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.310000,0.034500,0.689436,0.174108,0.034500,0.968936,0.174108,0.034500,0.968936,0.278897,0.034500,1.029436
2.0220,0.000000,-0.523599,1.570796,-1.047198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.310000,0.034500,0.689436,0.174108,0.034500,0.968936,0.174108,0.034500,0.968936,0.278897,0.034500,1.029436
2.0230,0.000000,-0.523599,1.570796,-1.047198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.310000,0.034500,0.689436,0.174108,0.034500,0.968936,0.174108,0.034500,0.968936,0.278897,0.034500,1.029436
2.0240,0.000000,-0.523599,1.570796,-1.047198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.310000,0.034500,0.689436,0.174108,0.034500,0.968936,0.174108,0.034500,0.968936,0.278897,0.034500,1.029436
2.0250,0.000000,-0.523599,1.570796,-1.047198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.310000,0.034500,0.689436,0.174108,0.034500,0.968936,0.174108,0.034500,0.968936,0.278897,0.034500,1.029436
2.0260,0.000000,-0.523599,1.570796,-1.047198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.310000,0.034500,0.689436,0.174108,0.034500,0.968936,0.174108,0.034500,0.968936,0.278897,0.034500,1.029436
2.0270,0.000000,-0.523599,1.570796,-1.047198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.310000,0.034500,0.689436,0.174108,0.034500,0.968936,0.174108,0.034500,0.968936,0.278897,0.034500,1.029436
2.0280,0.000000,-0.523599,1.570796,-1.047198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.310000,0.034500,0.689436,0.174108,0.034500,0.968936,0.174108,0.034500,0.968936,0.278897,0.034500,1.029436
2.0290,0.000000,-0.523599,1.570796,-1.047198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.310000,0.034500,0.689436,0.174108,0.034500,0.968936,0.174108,0.034500,0.968936,0.278897,0.034500,1.029436
2.0300,0.000000,-0.523599,1.570796,-1.047198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.310000,0.034500,0.689436,0.174108,0.034500,0.968936,0.174108,0.034500,0.968936,0.278897,0.034500,1.029436
