Time,Desired_Q,Desired_DQ,Desired_DDQ
0.434,7.56868,12.2177,-61.3955
0.435,7.58083,12.1566,-61.0885
0.436,7.59293,12.0958,-60.7831
0.437,7.60497,12.0353,-60.4791
0.438,7.61694,11.9752,-60.1767
0.439,7.62886,11.9153,-59.8759
0.44,7.64071,11.8557,-59.5765
0.441,7.65251,11.7964,-59.2786
0.442,7.66425,11.7375,-58.9822
0.443,7.67592,11.6788,-58.6873
0.444,7.68754,11.6204,-58.3939
0.445,7.69911,11.5623,-58.1019
0.446,7.71061,11.5045,-57.8114
0.447,7.72206,11.4469,-57.5223
0.448,7.73345,11.3897,-57.2347
0.449,7.74478,11.3328,-56.9485
0.45,7.75606,11.2761,-56.6638
0.451,7.76728,11.2197,-56.3805
0.452,7.77844,11.1636,-56.0986
0.453,7.78955,11.1078,-55.8181
0.454,7.8006,11.0523,-55.539
0.455,7.8116,10.997,-55.2613
0.456,7.82254,10.942,-54.985
0.457,7.83343,10.8873,-54.7101
0.458,7.84426,10.8329,-54.4365
0.459,7.85504,10.7787,-54.1643
0.46,7.86576,10.7248,-53.8935
0.461,7.87643,10.6712,-53.624
0.462,7.88705,10.6178,-53.3559
0.463,7.89762,10.5647,-53.0891
0.464,7.90813,10.5119,-52.8237
0.465,7.91859,10.4594,-52.5596
0.466,7.929,10.4071,-52.2968
0.467,7.93935,10.355,-52.0353
0.468,7.94965,10.3032,-51.7751
0.469,7.95991,10.2517,-51.5162
0.47,7.97011,10.2005,-51.2587
0.471,7.98026,10.1495,-51.0024
0.472,7.99035,10.0987,-50.7474
0.473,8.0004,10.0482,-50.4936
0.474,8.0104,9.99799,-50.2412
0.475,8.02035,9.948,-49.9899
0.476,8.03025,9.89826,-49.74
0.477,8.0401,9.84877,-49.4913
0.478,8.04989,9.79952,-49.2438
0.479,8.05965,9.75053,-48.9976
0.48,8.06935,9.70177,-48.7526
0.481,8.079,9.65327,-48.5089
0.482,8.08861,9.605,-48.2663
0.483,8.09816,9.55697,-48.025
0.484,8.10767,9.50919,-47.7849
0.485,8.11713,9.46164,-47.5459
0.486,8.12655,9.41434,-47.3082
0.487,8.13591,9.36726,-47.0717
0.488,8.14523,9.32043,-46.8363
0.489,8.15451,9.27383,-46.6021
0.49,8.16374,9.22746,-46.3691
0.491,8.17292,9.18132,-46.1373
0.492,8.18205,9.13541,-45.9066
0.493,8.19114,9.08974,-45.6771
0.494,8.20019,9.04429,-45.4487
0.495,8.20919,8.99907,-45.2214
0.496,8.21814,8.95407,-44.9953
0.497,8.22705,8.9093,-44.7703
0.498,8.23591,8.86475,-44.5465
0.499,8.24473,8.82043,-44.3238
0.5,8.25351,8.77633,-44.1021
0.501,8.26224,8.73245,-43.8816
0.502,8.27093,8.68878,-43.6622
0.503,8.27958,8.64534,-43.4439
0.504,8.28818,8.60211,-43.2267
0.505,8.29674,8.5591,-43.0106
0.506,8.30526,8.51631,-42.7955
0.507,8.31373,8.47372,-42.5815
0.508,8.32216,8.43136,-42.3686
0.509,8.33055,8.3892,-42.1568
0.51,8.3389,8.34725,-41.946
0.511,8.3472,8.30552,-41.7363
0.512,8.35547,8.26399,-41.5276
0.513,8.36369,8.22267,-41.3199
0.514,8.37187,8.18156,-41.1133
0.515,8.38001,8.14065,-40.9078
0.516,8.38811,8.09995,-40.7032
0.517,8.39617,8.05945,-40.4997
0.518,8.40419,8.01915,-40.2972
0.519,8.41217,7.97905,-40.0957
0.52,8.42011,7.93916,-39.8953
0.521,8.42801,7.89946,-39.6958
0.522,8.43587,7.85996,-39.4973
0.523,8.44369,7.82066,-39.2998
0.524,8.45147,7.78156,-39.1033
0.525,8.45921,7.74265,-38.9078
0.526,8.46692,7.70394,-38.7133
0.527,8.47458,7.66542,-38.5197
0.528,8.48221,7.62709,-38.3271
0.529,8.4898,7.58896,-38.1355
0.53,8.49735,7.55101,-37.9448
0.531,8.50486,7.51326,-37.7551
0.532,8.51234,7.47569,-37.5663
0.533,8.51978,7.43831,-37.3785
0.534,8.52718,7.40112,-37.1916
0.535,8.53454,7.36412,-37.0056
0.536,8.54187,7.3273,-36.8206
0.537,8.54916,7.29066,-36.6365
0.538,8.55641,7.25421,-36.4533
0.539,8.56363,7.21793,-36.271
0.54,8.57081,7.18184,-36.0897
0.541,8.57796,7.14594,-35.9092
0.542,8.58507,7.11021,-35.7297
0.543,8.59214,7.07465,-35.551
0.544,8.59918,7.03928,-35.3733
0.545,8.60619,7.00409,-35.1964
0.546,8.61316,6.96906,-35.0204
0.547,8.62009,6.93422,-34.8453
0.548,8.62699,6.89955,-34.6711
0.549,8.63385,6.86505,-34.4977
0.55,8.64069,6.83073,-34.3253
0.551,8.64748,6.79657,-34.1536
0.552,8.65424,6.76259,-33.9829
0.553,8.66097,6.72878,-33.8129
0.554,8.66767,6.69513,-33.6439
0.555,8.67433,6.66166,-33.4757
0.556,8.68096,6.62835,-33.3083
0.557,8.68755,6.59521,-33.1417
0.558,8.69412,6.56223,-32.976
0.559,8.70065,6.52942,-32.8112
0.56,8.70714,6.49677,-32.6471
0.561,8.71361,6.46429,-32.4839
0.562,8.72004,6.43197,-32.3214
0.563,8.72644,6.39981,-32.1598
0.564,8.73281,6.36781,-31.999
0.565,8.73914,6.33597,-31.839
0.566,8.74545,6.30429,-31.6798
0.567,8.75172,6.27277,-31.5214
0.568,8.75796,6.2414,-31.3638
0.569,8.76417,6.2102,-31.207
0.57,8.77035,6.17915,-31.051
0.571,8.7765,6.14825,-30.8957
0.572,8.78262,6.11751,-30.7413
0.573,8.7887,6.08692,-30.5875
0.574,8.79476,6.05649,-30.4346
0.575,8.80079,6.0262,-30.2824
0.576,8.80678,5.99607,-30.131
0.577,8.81275,5.96609,-29.9804
0.578,8.81868,5.93626,-29.8305
0.579,8.82459,5.90658,-29.6813
0.58,8.83047,5.87705,-29.5329
0.581,8.83632,5.84766,-29.3852
0.582,8.84213,5.81842,-29.2383
0.583,8.84792,5.78933,-29.0921
0.584,8.85368,5.76039,-28.9467
0.585,8.85941,5.73158,-28.8019
0.586,8.86512,5.70293,-28.6579
0.587,8.87079,5.67441,-28.5146
0.588,8.87644,5.64604,-28.3721
0.589,8.88206,5.61781,-28.2302
0.59,8.88765,5.58972,-28.089
0.591,8.89321,5.56177,-27.9486
0.592,8.89874,5.53396,-27.8089
0.593,8.90425,5.50629,-27.6698
0.594,8.90973,5.47876,-27.5315
0.595,8.91518,5.45137,-27.3938
0.596,8.9206,5.42411,-27.2568
0.597,8.926,5.39699,-27.1206
0.598,8.93137,5.37001,-26.985
0.599,8.93671,5.34316,-26.85
0.6,8.94203,5.31644,-26.7158
0.601,8.94732,5.28986,-26.5822
0.602,8.95258,5.26341,-26.4493
0.603,8.95782,5.23709,-26.317
0.604,8.96303,5.21091,-26.1855
0.605,8.96821,5.18485,-26.0545
0.606,8.97337,5.15893,-25.9243
0.607,8.97851,5.13313,-25.7946
0.608,8.98361,5.10747,-25.6657
0.609,8.9887,5.08193,-25.5373
0.61,8.99375,5.05652,-25.4096
0.611,8.99878,5.03124,-25.2826
0.612,9.00379,5.00608,-25.1562
0.613,9.00877,4.98105,-25.0304
0.614,9.01373,4.95614,-24.9053
0.615,9.01866,4.93136,-24.7807
0.616,9.02357,4.90671,-24.6568
0.617,9.02845,4.88217,-24.5335
0.618,9.03331,4.85776,-24.4109
0.619,9.03814,4.83347,-24.2888
0.62,9.04295,4.80931,-24.1674
0.621,9.04773,4.78526,-24.0465
0.622,9.05249,4.76133,-23.9263
0.623,9.05723,4.73753,-23.8067
0.624,9.06195,4.71384,-23.6876
0.625,9.06664,4.69027,-23.5692
0.626,9.0713,4.66682,-23.4514
0.627,9.07595,4.64349,-23.3341
