Time,TCP_Z,Error_Z,Joint_V_Norm
0.423,0.653614,0.0978861,0.725325
0.424,0.653619,0.0978811,0.725328
0.425,0.653624,0.0978761,0.725331
0.426,0.653629,0.0978711,0.725335
0.427,0.653634,0.0978661,0.725338
0.428,0.653639,0.0978611,0.725341
0.429,0.653644,0.0978561,0.725344
0.43,0.653649,0.0978511,0.725347
0.431,0.653654,0.0978461,0.725351
0.432,0.653659,0.0978411,0.725354
0.433,0.653664,0.0978361,0.725357
0.434,0.653669,0.0978311,0.72536
0.435,0.653674,0.0978261,0.725363
0.436,0.653679,0.0978211,0.725366
0.437,0.653684,0.0978161,0.72537
0.438,0.653689,0.0978111,0.725373
0.439,0.653694,0.0978061,0.725376
0.44,0.653699,0.0978011,0.725379
0.441,0.653704,0.0977961,0.725382
0.442,0.653709,0.0977911,0.725386
0.443,0.653714,0.0977861,0.725389
0.444,0.653719,0.0977811,0.725392
0.445,0.653724,0.0977762,0.725395
0.446,0.653729,0.0977712,0.725398
0.447,0.653734,0.0977662,0.725402
0.448,0.653739,0.0977612,0.725405
0.449,0.653744,0.0977562,0.725408
0.45,0.653749,0.0977512,0.725411
0.451,0.653754,0.0977462,0.725414
0.452,0.653759,0.0977412,0.725418
0.453,0.653764,0.0977362,0.725421
0.454,0.653769,0.0977312,0.725424
0.455,0.653774,0.0977262,0.725427
0.456,0.653779,0.0977212,0.72543
0.457,0.653784,0.0977162,0.725433
0.458,0.653789,0.0977112,0.725437
0.459,0.653794,0.0977062,0.72544
0.46,0.653799,0.0977012,0.725443
0.461,0.653804,0.0976962,0.725446
0.462,0.653809,0.0976912,0.725449
0.463,0.653814,0.0976862,0.725453
0.464,0.653819,0.0976812,0.725456
0.465,0.653824,0.0976762,0.725459
0.466,0.653829,0.0976712,0.725462
0.467,0.653834,0.0976662,0.725465
0.468,0.653839,0.0976612,0.725468
0.469,0.653844,0.0976562,0.725472
0.47,0.653849,0.0976512,0.725475
0.471,0.653854,0.0976462,0.725478
0.472,0.653859,0.0976412,0.725481
0.473,0.653864,0.0976362,0.725484
0.474,0.653869,0.0976312,0.725488
0.475,0.653874,0.0976262,0.725491
0.476,0.653879,0.0976213,0.725494
0.477,0.653884,0.0976163,0.725497
0.478,0.653889,0.0976113,0.7255
0.479,0.653894,0.0976063,0.725503
0.48,0.653899,0.0976013,0.725507
0.481,0.653904,0.0975963,0.72551
0.482,0.653909,0.0975913,0.725513
0.483,0.653914,0.0975863,0.725516
0.484,0.653919,0.0975813,0.725519
0.485,0.653924,0.0975763,0.725522
0.486,0.653929,0.0975713,0.725526
0.487,0.653934,0.0975663,0.725529
0.488,0.653939,0.0975613,0.725532
0.489,0.653944,0.0975563,0.725535
0.49,0.653949,0.0975513,0.725538
0.491,0.653954,0.0975463,0.725542
0.492,0.653959,0.0975413,0.725545
0.493,0.653964,0.0975363,0.725548
0.494,0.653969,0.0975313,0.725551
0.495,0.653974,0.0975263,0.725554
0.496,0.653979,0.0975213,0.725557
0.497,0.653984,0.0975163,0.725561
0.498,0.653989,0.0975113,0.725564
0.499,0.653994,0.0975063,0.725567
0.5,0.653999,0.0975013,0.72557
0.501,0.654004,0.0974963,0.725573
0.502,0.654009,0.0974913,0.725576
0.503,0.654014,0.0974863,0.72558
0.504,0.654019,0.0974813,0.725583
0.505,0.654024,0.0974763,0.725586
0.506,0.654029,0.0974713,0.725589
0.507,0.654034,0.0974663,0.725592
0.508,0.654039,0.0974614,0.725595
0.509,0.654044,0.0974564,0.725599
0.51,0.654049,0.0974514,0.725602
0.511,0.654054,0.0974464,0.725605
0.512,0.654059,0.0974414,0.725608
0.513,0.654064,0.0974364,0.725611
0.514,0.654069,0.0974314,0.725614
0.515,0.654074,0.0974264,0.725618
0.516,0.654079,0.0974214,0.725621
0.517,0.654084,0.0974164,0.725624
0.518,0.654089,0.0974114,0.725627
0.519,0.654094,0.0974064,0.72563
0.52,0.654099,0.0974014,0.725633
0.521,0.654104,0.0973964,0.725637
0.522,0.654109,0.0973914,0.72564
0.523,0.654114,0.0973864,0.725643
0.524,0.654119,0.0973814,0.725646
0.525,0.654124,0.0973764,0.725649
0.526,0.654129,0.0973714,0.725652
0.527,0.654134,0.0973664,0.725656
0.528,0.654139,0.0973614,0.725659
0.529,0.654144,0.0973564,0.725662
0.53,0.654149,0.0973514,0.725665
0.531,0.654154,0.0973464,0.725668
