Time,Step,Q_Error,Exec_us,Reached
0.4850,1,178.7336,0.2630,0
0.4860,1,178.5868,0.2630,0
0.4870,1,178.4397,0.2650,0
0.4880,1,178.2924,0.2650,0
0.4890,1,178.1448,0.2620,0
0.4900,1,177.9970,0.2630,0
0.4910,1,177.8489,0.2620,0
0.4920,1,177.7005,0.2630,0
0.4930,1,177.5519,0.2610,0
0.4940,1,177.4030,0.2620,0
0.4950,1,177.2538,0.2620,0
0.4960,1,177.1044,0.2620,0
0.4970,1,176.9547,0.2620,0
0.4980,1,176.8047,0.2620,0
0.4990,1,176.6545,0.2640,0
0.5000,1,176.5040,0.2630,0
0.5010,1,176.3533,0.3190,0
0.5020,1,176.2022,0.2640,0
0.5030,1,176.0509,0.2600,0
0.5040,1,175.8994,0.2600,0
0.5050,1,175.7476,0.2590,0
0.5060,1,175.5955,0.2580,0
0.5070,1,175.4432,0.2590,0
0.5080,1,175.2906,0.2600,0
0.5090,1,175.1377,0.2610,0
0.5100,1,174.9846,0.2600,0
0.5110,1,174.8311,0.2580,0
0.5120,1,174.6775,0.2590,0
0.5130,1,174.5236,0.3180,0
0.5140,1,174.3694,0.2590,0
0.5150,1,174.2149,0.2610,0
0.5160,1,174.0602,0.2600,0
0.5170,1,173.9052,0.2610,0
0.5180,1,173.7499,0.2610,0
0.5190,1,173.5944,0.2620,0
0.5200,1,173.4386,0.2620,0
0.5210,1,173.2826,0.2600,0
0.5220,1,173.1263,0.2600,0
0.5230,1,172.9697,0.2620,0
0.5240,1,172.8129,0.2620,0
0.5250,1,172.6557,0.2590,0
0.5260,1,172.4984,0.2590,0
0.5270,1,172.3407,0.2620,0
0.5280,1,172.1828,0.2610,0
0.5290,1,172.0247,0.2610,0
0.5300,1,171.8662,0.2610,0
0.5310,1,171.7075,0.2620,0
0.5320,1,171.5486,0.2620,0
0.5330,1,171.3894,0.2620,0
0.5340,1,171.2299,0.2610,0
0.5350,1,171.0701,0.2610,0
0.5360,1,170.9101,0.2600,0
0.5370,1,170.7498,0.2600,0
0.5380,1,170.5893,0.2590,0
0.5390,1,170.4285,0.2600,0
0.5400,1,170.2674,0.2610,0
0.5410,1,170.1061,0.2610,0
0.5420,1,169.9445,0.2620,0
0.5430,1,169.7826,0.2600,0
0.5440,1,169.6204,0.2590,0
0.5450,1,169.4581,0.2600,0
0.5460,1,169.2954,0.2600,0
0.5470,1,169.1325,0.2610,0
