Time,X,Y,Z,Vel_X,Vel_Y,Vel_Z,Err_Norm
0.235000,0.009730,-0.097304,0.038921,0.046225,-0.462250,0.184900,0.976415
0.236000,0.009777,-0.097766,0.039106,0.046225,-0.462250,0.184900,0.975915
0.237000,0.009823,-0.098228,0.039291,0.046225,-0.462250,0.184900,0.975415
0.238000,0.009869,-0.098690,0.039476,0.046225,-0.462250,0.184900,0.974915
0.239000,0.009915,-0.099153,0.039661,0.046225,-0.462250,0.184900,0.974415
0.240000,0.009961,-0.099615,0.039846,0.046225,-0.462250,0.184900,0.973915
0.241000,0.010008,-0.100077,0.040031,0.046225,-0.462250,0.184900,0.973415
0.242000,0.010054,-0.100539,0.040216,0.046225,-0.462250,0.184900,0.972915
0.243000,0.010100,-0.101002,0.040401,0.046225,-0.462250,0.184900,0.972415
0.244000,0.010146,-0.101464,0.040586,0.046225,-0.462250,0.184900,0.971915
0.245000,0.010193,-0.101926,0.040770,0.046225,-0.462250,0.184900,0.971415
0.246000,0.010239,-0.102388,0.040955,0.046225,-0.462250,0.184900,0.970915
0.247000,0.010285,-0.102851,0.041140,0.046225,-0.462250,0.184900,0.970415
0.248000,0.010331,-0.103313,0.041325,0.046225,-0.462250,0.184900,0.969915
0.249000,0.010378,-0.103775,0.041510,0.046225,-0.462250,0.184900,0.969415
0.250000,0.010424,-0.104237,0.041695,0.046225,-0.462250,0.184900,0.968915
0.251000,0.010470,-0.104700,0.041880,0.046225,-0.462250,0.184900,0.968415
0.252000,0.010516,-0.105162,0.042065,0.046225,-0.462250,0.184900,0.967915
0.253000,0.010562,-0.105624,0.042250,0.046225,-0.462250,0.184900,0.967415
0.254000,0.010609,-0.106086,0.042435,0.046225,-0.462250,0.184900,0.966915
0.255000,0.010655,-0.106549,0.042619,0.046225,-0.462250,0.184900,0.966415
0.256000,0.010701,-0.107011,0.042804,0.046225,-0.462250,0.184900,0.965915
0.257000,0.010747,-0.107473,0.042989,0.046225,-0.462250,0.184900,0.965415
0.258000,0.010794,-0.107935,0.043174,0.046225,-0.462250,0.184900,0.964915
0.259000,0.010840,-0.108398,0.043359,0.046225,-0.462250,0.184900,0.964415
0.260000,0.010886,-0.108860,0.043544,0.046225,-0.462250,0.184900,0.963915
0.261000,0.010932,-0.109322,0.043729,0.046225,-0.462250,0.184900,0.963415
0.262000,0.010978,-0.109784,0.043914,0.046225,-0.462250,0.184900,0.962915
0.263000,0.011025,-0.110247,0.044099,0.046225,-0.462250,0.184900,0.962415
0.264000,0.011071,-0.110709,0.044284,0.046225,-0.462250,0.184900,0.961915
0.265000,0.011117,-0.111171,0.044468,0.046225,-0.462250,0.184900,0.961415
0.266000,0.011163,-0.111633,0.044653,0.046225,-0.462250,0.184900,0.960915
0.267000,0.011210,-0.112096,0.044838,0.046225,-0.462250,0.184900,0.960415
0.268000,0.011256,-0.112558,0.045023,0.046225,-0.462250,0.184900,0.959915
0.269000,0.011302,-0.113020,0.045208,0.046225,-0.462250,0.184900,0.959415
0.270000,0.011348,-0.113482,0.045393,0.046225,-0.462250,0.184900,0.958915
0.271000,0.011394,-0.113945,0.045578,0.046225,-0.462250,0.184900,0.958415
0.272000,0.011441,-0.114407,0.045763,0.046225,-0.462250,0.184900,0.957915
0.273000,0.011487,-0.114869,0.045948,0.046225,-0.462250,0.184900,0.957415
0.274000,0.011533,-0.115331,0.046133,0.046225,-0.462250,0.184900,0.956915
0.275000,0.011579,-0.115794,0.046317,0.046225,-0.462250,0.184900,0.956415
0.276000,0.011626,-0.116256,0.046502,0.046225,-0.462250,0.184900,0.955915
0.277000,0.011672,-0.116718,0.046687,0.046225,-0.462250,0.184900,0.955415
0.278000,0.011718,-0.117180,0.046872,0.046225,-0.462250,0.184900,0.954915
0.279000,0.011764,-0.117643,0.047057,0.046225,-0.462250,0.184900,0.954415
0.280000,0.011810,-0.118105,0.047242,0.046225,-0.462250,0.184900,0.953915
0.281000,0.011857,-0.118567,0.047427,0.046225,-0.462250,0.184900,0.953415
0.282000,0.011903,-0.119029,0.047612,0.046225,-0.462250,0.184900,0.952915
0.283000,0.011949,-0.119492,0.047797,0.046225,-0.462250,0.184900,0.952415
0.284000,0.011995,-0.119954,0.047982,0.046225,-0.462250,0.184900,0.951915
0.285000,0.012042,-0.120416,0.048166,0.046225,-0.462250,0.184900,0.951415
0.286000,0.012088,-0.120878,0.048351,0.046225,-0.462250,0.184900,0.950915
0.287000,0.012134,-0.121341,0.048536,0.046225,-0.462250,0.184900,0.950415
0.288000,0.012180,-0.121803,0.048721,0.046225,-0.462250,0.184900,0.949915
0.289000,0.012227,-0.122265,0.048906,0.046225,-0.462250,0.184900,0.949415
0.290000,0.012273,-0.122727,0.049091,0.046225,-0.462250,0.184900,0.948915
0.291000,0.012319,-0.123190,0.049276,0.046225,-0.462250,0.184900,0.948415
0.292000,0.012365,-0.123652,0.049461,0.046225,-0.462250,0.184900,0.947915
0.293000,0.012411,-0.124114,0.049646,0.046225,-0.462250,0.184900,0.947415
0.294000,0.012458,-0.124576,0.049831,0.046225,-0.462250,0.184900,0.946915
0.295000,0.012504,-0.125039,0.050015,0.046225,-0.462250,0.184900,0.946415
0.296000,0.012550,-0.125501,0.050200,0.046225,-0.462250,0.184900,0.945915
0.297000,0.012596,-0.125963,0.050385,0.046225,-0.462250,0.184900,0.945415
0.298000,0.012643,-0.126425,0.050570,0.046225,-0.462250,0.184900,0.944915
0.299000,0.012689,-0.126888,0.050755,0.046225,-0.462250,0.184900,0.944415
0.300000,0.012735,-0.127350,0.050940,0.046225,-0.462250,0.184900,0.943915
0.301000,0.012781,-0.127812,0.051125,0.046225,-0.462250,0.184900,0.943415
0.302000,0.012827,-0.128274,0.051310,0.046225,-0.462250,0.184900,0.942915
0.303000,0.012874,-0.128737,0.051495,0.046225,-0.462250,0.184900,0.942415
0.304000,0.012920,-0.129199,0.051680,0.046225,-0.462250,0.184900,0.941915
0.305000,0.012966,-0.129661,0.051864,0.046225,-0.462250,0.184900,0.941415
0.306000,0.013012,-0.130123,0.052049,0.046225,-0.462250,0.184900,0.940915
0.307000,0.013059,-0.130586,0.052234,0.046225,-0.462250,0.184900,0.940415
0.308000,0.013105,-0.131048,0.052419,0.046225,-0.462250,0.184900,0.939915
0.309000,0.013151,-0.131510,0.052604,0.046225,-0.462250,0.184900,0.939415
0.310000,0.013197,-0.131972,0.052789,0.046225,-0.462250,0.184900,0.938915
0.311000,0.013243,-0.132435,0.052974,0.046225,-0.462250,0.184900,0.938415
0.312000,0.013290,-0.132897,0.053159,0.046225,-0.462250,0.184900,0.937915
0.313000,0.013336,-0.133359,0.053344,0.046225,-0.462250,0.184900,0.937415
0.314000,0.013382,-0.133821,0.053529,0.046225,-0.462250,0.184900,0.936915
0.315000,0.013428,-0.134284,0.053713,0.046225,-0.462250,0.184900,0.936415
0.316000,0.013475,-0.134746,0.053898,0.046225,-0.462250,0.184900,0.935915
0.317000,0.013521,-0.135208,0.054083,0.046225,-0.462250,0.184900,0.935415
0.318000,0.013567,-0.135670,0.054268,0.046225,-0.462250,0.184900,0.934915
0.319000,0.013613,-0.136133,0.054453,0.046225,-0.462250,0.184900,0.934415
0.320000,0.013659,-0.136595,0.054638,0.046225,-0.462250,0.184900,0.933915
0.321000,0.013706,-0.137057,0.054823,0.046225,-0.462250,0.184900,0.933415
0.322000,0.013752,-0.137519,0.055008,0.046225,-0.462250,0.184900,0.932915
0.323000,0.013798,-0.137982,0.055193,0.046225,-0.462250,0.184900,0.932415
0.324000,0.013844,-0.138444,0.055378,0.046225,-0.462250,0.184900,0.931915
0.325000,0.013891,-0.138906,0.055562,0.046225,-0.462250,0.184900,0.931415
0.326000,0.013937,-0.139368,0.055747,0.046225,-0.462250,0.184900,0.930915
0.327000,0.013983,-0.139831,0.055932,0.046225,-0.462250,0.184900,0.930415
