Time,Step,X,Y,Z,Att_X,Att_Y,Att_Z,Goal_X,Goal_Y,Goal_Z,P_Err,R_Err,Vel_Norm,Reached
0.136000,1,0.093034,0.034500,0.996481,0.124253,0.034500,1.017103,0.227866,0.034500,1.086179,0.161943,0.000005,0.000000,0
0.137000,1,0.093377,0.034500,0.996712,0.124669,0.034500,1.017381,0.227866,0.034500,1.086179,0.161529,0.000005,0.000000,0
0.138000,1,0.093725,0.034500,0.996946,0.125085,0.034500,1.017658,0.227866,0.034500,1.086179,0.161110,0.000006,0.000000,0
0.139000,1,0.094077,0.034500,0.997183,0.125501,0.034500,1.017935,0.227866,0.034500,1.086179,0.160686,0.000006,0.000000,0
0.140000,1,0.094433,0.034500,0.997423,0.125917,0.034500,1.018213,0.227866,0.034500,1.086179,0.160257,0.000006,0.000000,0
0.141000,1,0.094793,0.034500,0.997665,0.126333,0.034500,1.018490,0.227866,0.034500,1.086179,0.159823,0.000007,0.000000,0
0.142000,1,0.095157,0.034500,0.997910,0.126749,0.034500,1.018768,0.227866,0.034500,1.086179,0.159384,0.000007,0.000000,0
0.143000,1,0.095526,0.034500,0.998157,0.127165,0.034500,1.019045,0.227866,0.034500,1.086179,0.158940,0.000008,0.000000,0
0.144000,1,0.095898,0.034500,0.998407,0.127581,0.034500,1.019322,0.227866,0.034500,1.086179,0.158491,0.000008,0.000000,0
0.145000,1,0.096275,0.034500,0.998660,0.127998,0.034500,1.019600,0.227866,0.034500,1.086179,0.158038,0.000008,0.000000,0
0.146000,1,0.096656,0.034501,0.998915,0.128414,0.034500,1.019877,0.227866,0.034500,1.086179,0.157579,0.000009,0.000000,0
0.147000,1,0.097041,0.034501,0.999173,0.128830,0.034500,1.020154,0.227866,0.034500,1.086179,0.157116,0.000009,0.000000,0
0.148000,1,0.097430,0.034501,0.999433,0.129246,0.034500,1.020432,0.227866,0.034500,1.086179,0.156648,0.000010,0.000000,0
0.149000,1,0.097823,0.034501,0.999696,0.129662,0.034500,1.020709,0.227866,0.034500,1.086179,0.156175,0.000010,0.000000,0
0.150000,1,0.098220,0.034501,0.999961,0.130078,0.034500,1.020986,0.227866,0.034500,1.086179,0.155697,0.000010,0.000000,0
0.151000,1,0.098622,0.034501,1.000229,0.130494,0.034500,1.021264,0.227866,0.034500,1.086179,0.155215,0.000011,0.000000,0
0.152000,1,0.099027,0.034501,1.000499,0.130910,0.034500,1.021541,0.227866,0.034500,1.086179,0.154728,0.000011,0.000000,0
0.153000,1,0.099436,0.034501,1.000772,0.131326,0.034500,1.021818,0.227866,0.034500,1.086179,0.154236,0.000011,0.000000,0
